Id,KC,log_GSS,S
610,44.6797,-3.21491,0.811278
611,39.0947,-3.21491,0.543564
612,33.5098,-3.99306,0.482066
613,41.8872,-3.59512,0.738285
614,36.3023,-3.59512,0.696212
615,36.3023,-4.29409,0.599314
616,33.5098,-3.29409,0.696212
617,25.1323,-3.03882,0.249882
618,39.0947,-4.29409,0.738285
619,30.7173,-4.29409,0.896038
620,30.7173,-4.29409,0.33729
621,41.8872,-3.69203,0.696212
622,41.8872,-4.29409,0.650022
623,41.8872,-3.08997,0.811278
624,39.0947,-3.69203,0.599314
625,36.3023,-4.29409,0.870864
626,30.7173,-2.41328,0.413817
627,41.8872,-3.69203,0.870864
628,44.6797,-3.69203,0.842658
629,25.1323,-2.391,0.811278
630,41.8872,-3.99306,0.968461
631,44.6797,-3.08997,0.870864
632,39.0947,-3.33985,0.599314
633,36.3023,-3.99306,0.896038
634,39.0947,-4.29409,0.811278
635,47.4722,-4.29409,0.738285
636,50.2647,-3.08997,0.811278
637,47.4722,-4.29409,0.811278
638,33.5098,-3.59512,0.543564
639,44.6797,-3.21491,0.870864
640,30.7173,-3.59512,0.543564
641,39.0947,-4.29409,0.650022
642,39.0947,-3.69203,0.776556
643,44.6797,-2.78894,0.776556
644,33.5098,-3.99306,0.696212
645,44.6797,-2.78894,0.738285
646,25.1323,-3.99306,0.870864
647,36.3023,-3.01534,0.896038
648,39.0947,-3.59512,0.954434
649,47.4722,-3.08997,0.870864
650,44.6797,-3.69203,0.842658
651,30.7173,-3.69203,0.413817
652,36.3023,-3.69203,0.650022
653,41.8872,-3.99306,0.696212
654,44.6797,-3.69203,0.738285
655,41.8872,-3.51594,0.696212
656,41.8872,-2.78894,0.870864
657,36.3023,-4.29409,0.954434
658,41.8872,-3.391,0.738285
659,27.9248,-3.29409,0.543564
660,55.8496,-4.29409,0.918296
661,47.4722,-3.08997,0.776556
662,39.0947,-3.99306,0.738285
663,47.4722,-4.29409,0.896038
664,44.6797,-3.69203,0.696212
665,30.7173,-2.99306,0.776556
666,53.0571,-3.69203,0.811278
667,36.3023,-3.69203,0.482066
668,41.8872,-4.29409,0.599314
669,36.3023,-2.80273,0.738285
670,41.8872,-3.69203,0.650022
671,44.6797,-4.29409,0.696212
672,39.0947,-3.08997,0.842658
673,22.3398,-2.41328,0.413817
674,33.5098,-4.29409,0.696212
675,39.0947,-3.99306,0.599314
676,50.2647,-3.69203,0.738285
677,41.8872,-4.29409,0.842658
678,25.1323,-3.59512,0.988699
679,41.8872,-4.29409,0.776556
680,47.4722,-4.29409,0.738285
681,33.5098,-4.29409,0.543564
682,36.3023,-2.99306,0.937734
683,39.0947,-3.81697,0.918296
684,44.6797,-3.69203,0.738285
685,41.8872,-3.59512,0.738285
686,39.0947,-3.81697,0.776556
687,41.8872,-3.69203,0.811278
688,33.5098,-3.29409,0.776556
689,30.7173,-3.01534,0.482066
690,36.3023,-3.59512,0.599314
691,53.0571,-4.29409,0.918296
692,47.4722,-3.69203,0.842658
693,39.0947,-4.29409,0.599314
694,44.6797,-3.69203,0.650022
695,39.0947,-4.29409,0.696212
696,44.6797,-4.29409,0.918296
697,39.0947,-3.59512,0.738285
698,39.0947,-3.2527,0.937734
699,39.0947,-3.69203,0.650022
700,39.0947,-3.69203,0.696212
701,36.3023,-3.29409,0.811278
702,44.6797,-3.21491,0.954434
703,27.9248,-3.03882,0.543564
704,41.8872,-3.69203,0.776556
705,36.3023,-4.29409,0.543564
706,53.0571,-3.69203,0.937734
707,44.6797,-3.21491,0.896038
708,30.7173,-4.29409,0.988699
709,47.4722,-3.391,0.842658
710,44.6797,-3.69203,0.870864
711,50.2647,-3.99306,0.842658
712,33.5098,-3.99306,0.979869
713,39.0947,-4.29409,0.599314
714,41.8872,-4.29409,0.696212
715,30.7173,-2.99306,0.738285
716,30.7173,-3.69203,0.482066
717,39.0947,-2.48791,0.650022
718,39.0947,-3.08997,0.696212
719,44.6797,-3.51594,0.842658
720,41.8872,-2.99306,0.918296
721,44.6797,-3.59512,0.896038
722,33.5098,-3.69203,0.482066
723,39.0947,-3.99306,0.738285
724,33.5098,-3.03882,0.896038
725,39.0947,-4.29409,0.650022
726,36.3023,-3.14796,0.599314
727,30.7173,-3.391,0.870864
728,33.5098,-3.29409,0.811278
729,36.3023,-2.99306,0.896038
730,41.8872,-3.99306,0.738285
731,50.2647,-4.29409,0.842658
732,41.8872,-3.51594,0.918296
733,36.3023,-4.29409,0.482066
734,50.2647,-4.29409,0.870864
735,33.5098,-4.29409,0.696212
736,39.0947,-3.69203,0.842658
737,41.8872,-4.29409,0.776556
738,30.7173,-3.69203,0.482066
739,47.4722,-3.08997,0.896038
740,22.3398,-4.29409,0.249882
741,22.3398,-3.59512,0.979869
742,36.3023,-2.50876,0.650022
743,39.0947,-4.29409,0.937734
744,36.3023,-4.29409,0.650022
745,36.3023,-3.08997,0.650022
746,44.6797,-3.69203,0.811278
747,41.8872,-3.99306,0.776556
748,41.8872,-4.29409,0.738285
749,22.3398,-3.03882,0.33729
750,33.5098,-3.69203,0.599314
751,33.5098,-3.08997,0.870864
752,39.0947,-3.99306,0.811278
753,44.6797,-3.99306,0.842658
754,33.5098,-3.2527,0.599314
755,39.0947,-4.29409,0.650022
756,36.3023,-3.59512,0.650022
757,33.5098,-2.99306,0.738285
758,33.5098,-3.59512,0.599314
759,22.3398,-3.99306,1
760,33.5098,-3.69203,0.650022
